source,campaign,influencer_id,user_id,product,date,orders,revenue
YouTube,Campaign_86,129,rexloyeyqe68,Speciality Supplement Pack,2024-02-12,42,54033.41
Facebook,Campaign_17,28,36hfepydbsiw,Multivitamin Tablets,2025-01-18,92,48863.21
Instagram,Campaign_17,194,fviuclhq2eae,Weight Gainer,2022-11-13,54,75996.69
Twitter,Campaign_17,448,sqaxmvw0nhjl,Herbal Extract,2023-07-22,57,59472.17
YouTube,Campaign_33,385,a9a1n3irw50l,Post Workout Drink,2024-07-12,15,71504.06
Instagram,Campaign_52,302,mbvsqoi2jvzh,Vital Herbs Mix,2025-04-21,38,64427.15
Instagram,Campaign_98,34,oyykczf2tdci,Speciality Supplement Pack,2023-08-22,1,42172.51
YouTube,Campaign_38,371,tegb1dindlfd,Pre Workout Drink,2025-04-23,13,2919.72
YouTube,Campaign_22,344,ttnibth05ys0,Herbal Extract,2025-01-20,93,99734.03
Facebook,Campaign_30,139,wi4iuyd7rina,Vital Herbs Mix,2023-11-25,43,21864.54
Twitter,Campaign_17,133,0vlrrbaejz28,Post Workout Drink,2025-06-27,53,52499.89
Facebook,Campaign_22,495,6qpjn22y4lgq,Multivitamin Tablets,2024-06-04,99,22893.66
Facebook,Campaign_24,14,tcd21w2kjnvf,Vital Herbs Mix,2025-01-23,33,65453.44
Instagram,Campaign_25,328,om3vqriqye1s,Pre Workout Drink,2025-06-19,32,49722.97
Facebook,Campaign_62,57,ofpvoeo37pha,Protein Powder,2024-06-19,67,88291.85
Twitter,Campaign_94,451,nhdt4rk9ffy7,Herbal Extract,2023-05-08,20,19060.18
Facebook,Campaign_93,43,1knckonrhhky,Protein Powder,2022-10-01,93,31233.41
Facebook,Campaign_28,325,cq2ygynkiv90,Herbal Skin Care Cream,2024-02-20,17,96591.37
Facebook,Campaign_29,25,h7jajltuv67h,Herbal Skin Care Cream,2025-03-31,81,21870.53
YouTube,Campaign_99,155,t2ibtrvxoi41,Pre Workout Drink,2024-07-29,4,79589.72
Instagram,Campaign_41,65,ug82z8exrcli,Herbal Skin Care Cream,2024-11-13,30,54760.87
Twitter,Campaign_54,207,c6b0yucqefrs,Weight Loss Snack,2024-02-18,81,75791.67
YouTube,Campaign_65,209,atqv9ob3mqw2,Fat Burner Capsules,2024-04-07,78,8019.37
Twitter,Campaign_70,296,0x3rkwwcf5de,Herbal Extract,2023-03-15,28,71264.32
YouTube,Campaign_38,459,k429m0ttd78p,Herbal Extract,2024-05-11,31,69929.71
Twitter,Campaign_64,306,rwy8zoi9hdv9,Vital Herbs Mix,2023-08-17,62,85492.52
YouTube,Campaign_20,298,nm301dvvh6sd,Speciality Supplement Pack,2023-09-26,11,50844.44
Twitter,Campaign_14,279,4h4zx5bt8zeh,Fat Burner Capsules,2024-11-28,51,23728.36
YouTube,Campaign_24,417,3rprgygo2ype,Speciality Supplement Pack,2022-10-04,77,9089.71
YouTube,Campaign_94,174,4cwsjb4lvcrf,Weight Gainer,2024-09-08,65,18051.28
Twitter,Campaign_59,311,mksliz63ivv1,Protein Powder,2024-07-23,86,98654.23
Instagram,Campaign_10,342,erk0vf616d3c,Herbal Skin Care Cream,2024-01-09,4,94416.12
YouTube,Campaign_83,220,v0l5c098jrpg,Post Workout Drink,2025-05-01,50,35983.29
Twitter,Campaign_62,93,739zobzoujj3,Herbal Skin Care Cream,2024-02-05,76,89233.9
YouTube,Campaign_29,235,0tldo1va1qox,Herbal Extract,2023-02-17,25,51836.55
YouTube,Campaign_53,134,m8bvzl5uqw6b,Multivitamin Tablets,2023-10-10,28,30895.84
YouTube,Campaign_55,308,9w5zqw6l87ps,Herbal Extract,2023-03-04,42,69545.93
Facebook,Campaign_91,79,ch8q7qrerika,Pre Workout Drink,2022-11-09,76,82422.13
Twitter,Campaign_52,154,7lxx08dw54i3,Protein Powder,2024-06-24,72,43263.52
YouTube,Campaign_86,210,o6gil6dtxljk,Fat Burner Capsules,2023-01-12,21,28042.97
Facebook,Campaign_30,469,85jyyfk31avp,Post Workout Drink,2024-01-04,12,31913.65
Twitter,Campaign_75,249,m6dysx9ojwud,Pre Workout Drink,2025-06-01,75,15823.22
Facebook,Campaign_79,345,rgtz6ql3e49y,Weight Gainer,2024-03-02,82,59945.74
Twitter,Campaign_28,474,ws3nc62ahnwg,Herbal Extract,2023-06-16,78,5721.57
Facebook,Campaign_11,479,u9b8innu7pgg,Weight Gainer,2024-10-02,88,66271.1
Twitter,Campaign_89,216,minudc32gy42,Post Workout Drink,2024-01-15,99,82154.58
Twitter,Campaign_68,269,2kkwfapg0jg3,Vital Herbs Mix,2023-09-06,16,1321.54
Instagram,Campaign_13,33,ytiihn70n6jb,Fat Burner Capsules,2023-12-25,32,83875.82
Facebook,Campaign_51,340,p33giunwelaj,Weight Loss Snack,2025-05-10,85,9129.29
Twitter,Campaign_88,367,m3um94w739v5,Protein Powder,2023-03-15,43,23600.09
Twitter,Campaign_35,293,745ip65plld5,Protein Powder,2024-07-12,96,27914.77
Instagram,Campaign_75,296,obq2sa12mesq,Weight Loss Snack,2024-03-28,91,88877.17
YouTube,Campaign_85,309,790von8pvwja,Weight Gainer,2023-04-01,61,29577.11
Instagram,Campaign_40,200,zq4x55pb4w6c,Multivitamin Tablets,2023-05-11,56,31719.28
YouTube,Campaign_11,152,8hs287qmrmpl,Multivitamin Tablets,2023-06-30,67,68290.19
Facebook,Campaign_84,437,xc0padrku0gk,Vital Herbs Mix,2022-09-24,71,12411.89
Facebook,Campaign_45,381,h8vxpsa97l6x,Vital Herbs Mix,2024-02-10,28,90959.28
Instagram,Campaign_5,285,2oz2imb30jgu,Protein Powder,2024-04-22,82,86961.63
Facebook,Campaign_33,476,c3tglqkbec54,Fat Burner Capsules,2022-10-07,97,12931.23
Facebook,Campaign_70,442,t59pgn3s2w1i,Herbal Skin Care Cream,2024-07-28,33,67084.52
Twitter,Campaign_23,292,xu1oubnlma4a,Fat Burner Capsules,2023-11-03,12,65581.53
Instagram,Campaign_2,27,c1puvd3xak74,Speciality Supplement Pack,2024-12-31,55,44793.54
YouTube,Campaign_87,28,f5zqs1bhlf80,Multivitamin Tablets,2024-07-29,87,45446.48
Facebook,Campaign_42,10,hkkwjsv0zity,Post Workout Drink,2022-10-27,49,27815.15
Facebook,Campaign_29,382,fippr46qheqk,Herbal Extract,2025-05-15,35,81026.47
Twitter,Campaign_51,258,mqpy6n7qlbw6,Weight Loss Snack,2023-01-02,68,72088.02
YouTube,Campaign_98,215,6v3jr1njkiks,Speciality Supplement Pack,2024-02-23,9,99078.86
Facebook,Campaign_31,42,mv4qqj3a1iop,Post Workout Drink,2024-09-09,4,35666.77
Facebook,Campaign_97,459,ra5a5pmlqhdl,Vital Herbs Mix,2022-10-19,90,39795.72
Facebook,Campaign_29,238,qh1cv2xb402n,Herbal Extract,2023-05-06,50,27765.93
Facebook,Campaign_49,494,msikji92xpi8,Weight Gainer,2023-03-09,31,84764.71
Twitter,Campaign_8,266,65eo9w6ya8jb,Herbal Extract,2025-03-12,13,89641.06
Facebook,Campaign_80,222,90c03v1npcyv,Speciality Supplement Pack,2024-02-18,63,73548.27
YouTube,Campaign_65,470,u049dd5s0q7o,Vital Herbs Mix,2022-10-24,94,80310.5
Twitter,Campaign_33,292,c0qpdxxsykqv,Fat Burner Capsules,2023-03-23,34,38159.21
YouTube,Campaign_66,313,ox2n5zaneo9v,Pre Workout Drink,2025-06-08,80,35893.86
Instagram,Campaign_16,370,axczzyagzr64,Fat Burner Capsules,2024-12-06,64,34517.97
Twitter,Campaign_59,471,l4ywp6cbc5tn,Vital Herbs Mix,2025-07-07,77,33960.96
Facebook,Campaign_40,376,ll5hvdq0mjkk,Weight Loss Snack,2025-02-01,98,34272.81
Facebook,Campaign_6,111,egvka65fz2ri,Pre Workout Drink,2024-10-02,9,87575.64
Facebook,Campaign_17,293,mc6y1ol5rkh8,Fat Burner Capsules,2022-09-07,31,78679.47
Twitter,Campaign_15,474,7cyamnj8pl3m,Herbal Skin Care Cream,2024-08-23,92,44399.62
YouTube,Campaign_17,329,871ngetl53cu,Pre Workout Drink,2024-10-06,68,20770.13
Instagram,Campaign_87,378,k52cg99l349d,Pre Workout Drink,2025-02-04,10,47263.39
Twitter,Campaign_42,282,q1gt7dht8d61,Speciality Supplement Pack,2022-09-06,58,29205.01
Instagram,Campaign_89,207,098cjnjz9g6d,Multivitamin Tablets,2022-10-13,32,83836.99
YouTube,Campaign_42,173,vnq49440dclq,Fat Burner Capsules,2024-05-05,55,39593.36
Twitter,Campaign_96,354,gdd0dilxn48l,Pre Workout Drink,2024-10-02,24,97559.76
Instagram,Campaign_27,283,bclapdz6w5ow,Weight Loss Snack,2023-05-13,84,81280.19
Facebook,Campaign_27,453,k1lo4p0k9k20,Protein Powder,2024-02-26,96,19124.82
Facebook,Campaign_63,30,gvf74vmblcw0,Weight Loss Snack,2023-08-09,3,30921.81
Twitter,Campaign_73,276,dpdznxydc14z,Pre Workout Drink,2025-05-10,92,5549.2
Instagram,Campaign_23,388,sexe0of37fd3,Pre Workout Drink,2023-09-09,42,77436.29
Facebook,Campaign_95,427,mwg24unftwr2,Vital Herbs Mix,2025-03-15,90,73928.33
Instagram,Campaign_11,306,z0auf2w7wr1t,Multivitamin Tablets,2023-04-16,75,83457.06
Facebook,Campaign_80,318,qzfb8x6jmre2,Multivitamin Tablets,2022-09-12,8,24202.84
Instagram,Campaign_96,228,u7fmkgzbys7x,Post Workout Drink,2024-05-12,60,88351.43
Instagram,Campaign_85,366,zfwsankb23jp,Speciality Supplement Pack,2024-05-14,6,92475.85
Twitter,Campaign_91,480,mkrq2yvmza5w,Post Workout Drink,2023-01-01,10,98214.91
Facebook,Campaign_69,310,8vloyhdowm2h,Multivitamin Tablets,2023-08-31,52,58402.32
YouTube,Campaign_80,384,ut7p5mz6w3co,Pre Workout Drink,2023-05-23,98,43832.05
Instagram,Campaign_31,115,8pe74add0gn7,Speciality Supplement Pack,2022-08-22,88,2908.05
Facebook,Campaign_32,351,rvxq51whal10,Speciality Supplement Pack,2023-09-02,30,91865.04
Twitter,Campaign_96,384,4s210u8ulv1j,Pre Workout Drink,2024-10-30,8,30618.4
Instagram,Campaign_37,483,308ipuv58ohc,Vital Herbs Mix,2024-11-18,9,60976.97
YouTube,Campaign_54,454,u0e0r3jss3t1,Weight Gainer,2024-05-09,68,11661.14
Instagram,Campaign_2,57,4lyf6nxxx5f6,Fat Burner Capsules,2024-03-06,84,89913.39
Facebook,Campaign_22,409,z61dhihpsmtk,Pre Workout Drink,2022-12-02,95,62422.15
YouTube,Campaign_92,381,7p6xsvoltrjk,Herbal Skin Care Cream,2025-06-29,74,21824.58
Facebook,Campaign_6,333,lumcmh7lm2lw,Weight Gainer,2022-10-12,87,56394.8
Instagram,Campaign_1,407,7zrtqj8cw8n5,Vital Herbs Mix,2023-06-14,29,15643.97
Facebook,Campaign_84,409,7ple0ewrjiwm,Herbal Skin Care Cream,2025-05-09,38,99656.93
Facebook,Campaign_5,226,l12p5wpvi06b,Weight Gainer,2024-04-17,34,13238.69
Facebook,Campaign_40,261,8msg4ogb1lrx,Post Workout Drink,2023-12-19,19,34589.68
YouTube,Campaign_18,249,gkekt0kxgntu,Post Workout Drink,2024-03-30,11,80930.44
YouTube,Campaign_71,257,sjxbcwsbah6t,Post Workout Drink,2025-03-24,95,50442.33
Facebook,Campaign_75,80,c45pi2so0dmj,Multivitamin Tablets,2025-05-28,85,64377.34
Instagram,Campaign_78,42,paifowp473oz,Weight Gainer,2024-08-29,56,91364.39
Instagram,Campaign_2,306,rblh74kudyz3,Post Workout Drink,2023-11-28,94,59683.37
Facebook,Campaign_31,394,mqwy2nb95880,Post Workout Drink,2023-01-26,3,67281.32
Facebook,Campaign_39,443,4xxu4yq5tdfg,Multivitamin Tablets,2024-07-07,5,32880.55
Twitter,Campaign_27,352,j7nrskoqv333,Weight Gainer,2022-11-16,48,76495.53
YouTube,Campaign_37,217,c2uudsqncuyk,Weight Gainer,2025-03-10,100,47334.29
Twitter,Campaign_12,222,2vfhd7wg11sx,Vital Herbs Mix,2024-12-16,81,53790.48
Facebook,Campaign_73,360,xrppnl6rnkwx,Fat Burner Capsules,2023-04-07,92,87008.56
Facebook,Campaign_99,155,zwl9pqrmou80,Weight Loss Snack,2025-04-28,46,79516.26
Instagram,Campaign_8,280,3jw6r8ykehvq,Weight Gainer,2024-04-17,8,5649.79
Facebook,Campaign_45,15,9xd8xq41wjx3,Weight Loss Snack,2023-07-26,27,5686.15
Instagram,Campaign_15,177,xyrg7qsodmx0,Vital Herbs Mix,2024-11-17,71,16944.4
YouTube,Campaign_16,430,rdt5nhxf4t8m,Herbal Extract,2023-06-01,64,51866.72
YouTube,Campaign_78,22,a1024rv3nsxo,Fat Burner Capsules,2022-09-13,46,28155.86
Instagram,Campaign_48,289,f6t6weggh02w,Protein Powder,2025-05-26,38,64678.17
YouTube,Campaign_85,301,pkqj39qzj9yr,Weight Gainer,2025-03-23,95,91733.57
YouTube,Campaign_17,469,33ikuzu9sh7n,Protein Powder,2024-02-24,61,21857.86
Twitter,Campaign_72,12,1bqg3dcmyxbd,Speciality Supplement Pack,2025-01-13,42,92936.25
Facebook,Campaign_21,198,07q2jbtzgtld,Multivitamin Tablets,2025-06-28,32,30260.48
Facebook,Campaign_87,120,6f0n3it2vqym,Pre Workout Drink,2024-05-13,70,65559.33
Facebook,Campaign_88,442,hp9nymsorqet,Weight Gainer,2022-11-24,27,48551.54
Instagram,Campaign_4,245,jdh231wcgv6l,Multivitamin Tablets,2023-11-25,27,32448.14
Facebook,Campaign_43,72,rlwp47lz0o15,Protein Powder,2025-01-04,22,47376.27
Instagram,Campaign_95,343,8j8h19yx6yin,Herbal Extract,2025-03-20,6,89494.13
Facebook,Campaign_22,481,w4uf3s9m8yi0,Speciality Supplement Pack,2024-10-07,4,27122.84
Instagram,Campaign_40,195,38z2fs1o7d3y,Pre Workout Drink,2024-06-23,35,22763.76
YouTube,Campaign_75,366,82fjxlfn7v2t,Weight Gainer,2025-05-20,73,15971.92
YouTube,Campaign_86,158,3flwl91qjwnn,Herbal Extract,2025-02-05,93,29348.83
YouTube,Campaign_93,216,hn3k7dd1t46m,Pre Workout Drink,2023-08-30,29,6589.03
Instagram,Campaign_28,419,h7g8yfh3xdvq,Protein Powder,2024-06-18,70,77966.1
Instagram,Campaign_47,257,8pkd2krcnebc,Herbal Skin Care Cream,2025-06-10,44,24383.99
Twitter,Campaign_17,2,xiijcdgghohs,Weight Loss Snack,2023-06-01,46,95152.31
Instagram,Campaign_94,275,5ok6bu9xrdt1,Weight Loss Snack,2024-02-10,78,7238.04
YouTube,Campaign_100,292,n0nrxyco8rbt,Pre Workout Drink,2025-01-17,25,24582.6
Facebook,Campaign_79,35,4obks3ii3f4x,Pre Workout Drink,2025-07-15,48,74369.67
YouTube,Campaign_44,439,2jpkvcbzyiyn,Fat Burner Capsules,2024-06-22,84,6869.92
Facebook,Campaign_2,81,62u8z1xie39z,Herbal Skin Care Cream,2025-07-17,2,38047.04
YouTube,Campaign_97,279,vyec5udotuqa,Vital Herbs Mix,2023-06-03,57,59811.19
Facebook,Campaign_24,34,jelivwoe58oa,Post Workout Drink,2024-10-13,41,8525.59
YouTube,Campaign_77,97,gp01tsnja57i,Weight Gainer,2023-12-29,55,12216.91
Instagram,Campaign_15,86,1niskywcoq5l,Post Workout Drink,2022-10-16,93,45889.41
Facebook,Campaign_36,464,dl7nhymafcb3,Protein Powder,2022-08-05,57,82344.84
Instagram,Campaign_88,404,d6idlswzuah3,Herbal Skin Care Cream,2024-12-03,80,6930.87
Instagram,Campaign_72,377,5qrr4zgms66k,Pre Workout Drink,2023-03-06,56,80709.22
Twitter,Campaign_26,159,e6zadotiwtli,Multivitamin Tablets,2023-02-05,47,36580.7
Facebook,Campaign_79,334,nj1q3q5pcnil,Vital Herbs Mix,2024-05-11,25,11071.36
Facebook,Campaign_70,168,8472qw44xrii,Fat Burner Capsules,2023-02-14,23,93596.43
YouTube,Campaign_3,82,gup30l1r99m2,Herbal Skin Care Cream,2022-10-29,4,14337.72
Facebook,Campaign_64,294,kktbk5p24t9n,Herbal Extract,2023-01-12,68,23568.89
Instagram,Campaign_24,20,44fbv46mu62o,Multivitamin Tablets,2025-03-19,95,27469.19
Twitter,Campaign_48,500,edr9rlqk0pqs,Herbal Skin Care Cream,2025-04-19,90,52163.34
Facebook,Campaign_30,134,2fnukm7y1uvj,Herbal Extract,2023-01-07,80,56561.24
Instagram,Campaign_91,345,ytmp4nvv78zo,Multivitamin Tablets,2024-12-29,39,18943.41
YouTube,Campaign_75,326,heotb1ppqvq1,Multivitamin Tablets,2025-07-19,90,51542.58
Twitter,Campaign_93,38,hu3fiqg01pyd,Pre Workout Drink,2024-02-15,36,49629.47
Facebook,Campaign_63,333,819etpg2o8xg,Herbal Skin Care Cream,2024-11-23,78,78878.57
Facebook,Campaign_80,417,hiy1bfw7jn23,Herbal Skin Care Cream,2023-05-29,0,35248.15
Instagram,Campaign_47,425,648n9ji7omem,Herbal Skin Care Cream,2025-03-03,0,79238.16
YouTube,Campaign_92,417,to2vdsizb25j,Pre Workout Drink,2023-11-10,1,29655.6
YouTube,Campaign_72,129,t3mt2md8w1sa,Weight Gainer,2024-08-03,72,56672.64
Facebook,Campaign_89,262,gmlf2l9o98n2,Fat Burner Capsules,2025-06-16,60,29979.38
Facebook,Campaign_87,113,r48twqoybz8g,Vital Herbs Mix,2023-09-20,14,97491.35
Instagram,Campaign_19,323,icr6d86u8781,Weight Loss Snack,2022-09-06,29,98051.18
Instagram,Campaign_88,26,xtqsr7sh2c23,Protein Powder,2023-10-22,77,9990.07
YouTube,Campaign_2,60,u2g3rxokpi1t,Vital Herbs Mix,2024-06-29,47,97459.43
Twitter,Campaign_22,240,sqacbslyfay0,Weight Gainer,2024-11-23,27,25982.67
YouTube,Campaign_30,157,xa0rk8cjre5c,Protein Powder,2024-06-07,27,30813.68
Twitter,Campaign_44,134,5jo5l02moyqj,Herbal Extract,2022-09-06,65,15634.42
Facebook,Campaign_68,118,3izbt1kt7ga8,Herbal Skin Care Cream,2025-07-21,71,10649.64
Instagram,Campaign_30,202,sr6yhtxp25m9,Vital Herbs Mix,2023-01-15,74,88585.09
Instagram,Campaign_63,351,ferjxmzwqdbd,Pre Workout Drink,2023-05-14,62,13082.01
Facebook,Campaign_45,195,pv4rewmub4f0,Herbal Extract,2024-03-18,18,53869.72
Twitter,Campaign_28,223,miz8qajxhrmf,Herbal Skin Care Cream,2025-01-19,22,6204.72
Facebook,Campaign_26,491,6m8wnlephvpk,Speciality Supplement Pack,2023-10-24,97,16336.14
Twitter,Campaign_8,65,fa2m7k4986k3,Post Workout Drink,2024-01-11,30,87786.14
Twitter,Campaign_89,72,3ufevstygx88,Post Workout Drink,2022-09-21,20,38595.63
YouTube,Campaign_79,176,60i7p2r5jglw,Multivitamin Tablets,2024-01-13,46,56411.23
Facebook,Campaign_31,26,mk6sf9nrmozl,Pre Workout Drink,2023-03-29,3,51265.07
YouTube,Campaign_83,259,65x4wu1i7xxe,Post Workout Drink,2022-09-11,41,74881.94
Instagram,Campaign_33,403,q58wzuaczrre,Pre Workout Drink,2025-06-16,66,71328.65
Facebook,Campaign_63,243,5oz83ejfbovb,Herbal Skin Care Cream,2024-01-21,74,5567.19
YouTube,Campaign_85,294,1zj396yfi7eq,Post Workout Drink,2025-05-08,11,53880.7
Instagram,Campaign_93,484,3o6j8lu25wse,Pre Workout Drink,2023-05-16,37,76204.03
Facebook,Campaign_10,209,vi9v9j2fuw48,Post Workout Drink,2024-11-08,12,24003.86
YouTube,Campaign_57,180,xlpoy22cm5ag,Pre Workout Drink,2023-12-13,60,6822.7
YouTube,Campaign_42,442,p60q2oazfuuz,Herbal Extract,2024-10-02,24,29788.33
Instagram,Campaign_34,282,wp4o5xkqr4zl,Weight Gainer,2024-07-17,59,97827.27
Instagram,Campaign_72,341,xb7giorfzcp8,Protein Powder,2025-01-31,32,56890.99
Facebook,Campaign_80,74,3juwliuvj40y,Fat Burner Capsules,2024-11-19,46,14525.53
YouTube,Campaign_90,325,52ygqymh33dh,Weight Gainer,2024-01-06,13,59749.17
Facebook,Campaign_99,263,arji6yb9pdgk,Vital Herbs Mix,2024-02-14,40,66111.28
YouTube,Campaign_53,141,rjwtg3fimlcb,Herbal Extract,2023-05-28,47,2762.13
Facebook,Campaign_30,220,iedbznmtr28j,Vital Herbs Mix,2023-11-09,53,29558.68
Facebook,Campaign_48,397,9bf63y8ocvf3,Pre Workout Drink,2025-05-04,14,18895.45
Twitter,Campaign_32,150,4ei2brsv4305,Protein Powder,2025-05-12,7,65237.42
YouTube,Campaign_68,30,6m00l879w5dy,Pre Workout Drink,2022-09-05,32,17999.67
Twitter,Campaign_28,385,4lre7pi8weji,Multivitamin Tablets,2023-11-27,8,5919.98
YouTube,Campaign_89,207,4p0e4y5x6zie,Herbal Extract,2025-05-08,36,48229.03
YouTube,Campaign_78,350,5apcbflun3yp,Pre Workout Drink,2024-10-12,50,49559.59
Facebook,Campaign_13,167,q5lyyp6s0vdc,Fat Burner Capsules,2022-08-26,66,25468.56
Facebook,Campaign_65,24,k1040vrssdvb,Weight Loss Snack,2025-02-13,35,78270.65
Facebook,Campaign_98,317,26xnisosz0d3,Herbal Skin Care Cream,2023-09-14,34,91068.46
Twitter,Campaign_36,314,mpv9wxn91tfr,Vital Herbs Mix,2023-08-31,46,22679.51
YouTube,Campaign_50,364,sa8zfawty7kf,Multivitamin Tablets,2023-02-25,94,33141.34
Twitter,Campaign_18,77,ghpas0zbtbop,Fat Burner Capsules,2025-02-09,10,95525.66
Facebook,Campaign_53,276,51v9nxmkto6j,Vital Herbs Mix,2022-11-27,11,21643.91
Instagram,Campaign_53,34,ru7nspn5mrdp,Fat Burner Capsules,2025-01-09,28,19451.34
Instagram,Campaign_90,73,mby23hk7dbwp,Herbal Skin Care Cream,2025-02-16,83,77186.21
YouTube,Campaign_76,230,vfzet8p1h1zr,Post Workout Drink,2022-12-09,38,27268.69
Facebook,Campaign_4,246,iydrud24dkrf,Post Workout Drink,2024-06-23,28,89293.85
Twitter,Campaign_94,499,4fxen3macmvb,Fat Burner Capsules,2025-02-13,76,11021.24
Facebook,Campaign_59,223,9zxvth4oqsrl,Fat Burner Capsules,2023-05-28,34,25224.06
Instagram,Campaign_97,210,dhh2ks1cbcif,Fat Burner Capsules,2023-10-20,4,4822.83
Facebook,Campaign_27,239,l79r9kpu8o9o,Pre Workout Drink,2022-12-28,60,50511.42
